id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4745888172609175,LjfLbaWLt,#67岁陕西非遗传人唱活孙悟空##音乐的地域属性有多强# 非常有幸能够邀请非遗传承人刘世爱老先生来到广东广州#国乐大典# 的舞台上，为大家带来最纯正的陕北说书表演。激扬的唱腔与孙悟空热血的形象完美契合，在彩排时现场众人都被老先生的饱满情绪所触动，战队里的每一位伙伴都激情澎湃。老先生排练到嗓音喑哑也不肯休息，无论大家如何劝说，老先生的回复一直都是“再来一遍”。向刘世爱老先生致敬！广东卫视国乐大典的微博视频,,,"https://f.video.weibocdn.com/o0/rQJw6gmklx07UooM302Q010412022A560E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1655914880&ssig=cq5gWsEzzK&KID=unistore,video",,2022-03-11,微博视频号,448,53,32,"67岁陕西非遗传人唱活孙悟空,音乐的地域属性有多强,国乐大典",,2022-03-11 17:36:17
4740900771078403,Lha0Z4wxB,#如何看待民乐多元创作现象##萨顶顶误红妆沉浸舞台# 在民乐的多元创作上离不开丰富血液的注入，各大音乐平台涌现出的新一批的音乐人，其中国风音乐人通过创作表达家国情怀很难得，这次的舞台表演，我选取了《误红妆》（@等什么君 ）我与乐队小伙伴进行二次表演创作。另一首作品是从古籍中找寻根源，我将由我创作的《乐者礼记》改编带到了#国乐大典# 的舞台上。乐“感动人之善心”；“诗，言其志；歌，咏其声也；舞，动其容也。三者本于心......”音乐的功能、本质跃然而出。今天的我们，是否还记得古人对音乐的理解与阐述呢？希望未来能与战队的伙伴一起共同探寻民乐的奥秘#萨顶顶唱的乐者礼记我听懂了#  广东卫视国乐大典的微博视频,,,"https://f.video.weibocdn.com/o0/Yt28ZVF9lx07U2EbYDdu010412016CqP0E010.mp4?label=mp4_720p&template=1268x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1655914880&ssig=Hrw0%2BdhfbQ&KID=unistore,video",,2022-02-25,微博视频号,1579,178,113,"如何看待民乐多元创作现象,萨顶顶误红妆沉浸舞台,国乐大典,萨顶顶唱的乐者礼记我听懂了",等什么君,2022-02-25 23:18:08
4734152136198199,Leks5q0qX,女足太棒了半场前的逆境有多么困难，最后的逆转就有多么舒畅，永不言败，勇于拼搏，中国女性咋这优秀呢#中国女足亚洲杯夺冠##铿锵玫瑰# ,,https://wx3.sinaimg.cn/large/001ks5QYly1gz4myvg762j61900u0akl02.jpg,,,2022-02-07,iPhone 11,606,66,19,"中国女足亚洲杯夺冠,铿锵玫瑰",,2022-02-07 08:21:28
4730964875674826,LcZxlnOhs,冬奥健儿加油！@Overfiction 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/o0/gFjrLPK1lx07Tl2HRpAQ01041203vcBV0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914880&ssig=%2BMQ8zA70%2B5&KID=unistore,video",,2022-01-29,微博视频号,420,90,30,,Overfiction,2022-01-29 13:16:26
4730650273252989,LcRlVdEfz,#中国的传统服饰有多美# “中国有礼仪之大，故称夏，有服章之美，谓之华。”服饰是中华文明的外展。CCTV-1除夕下午档春节特别节目#古韵新春#，我在@央视一套 ，与您一起，品味东方美学。 ,,https://wx4.sinaimg.cn/large/001ks5QYly1gytgs56qxjj618g742npj02.jpg,,,2022-01-28,iPhone 11,362,87,26,"中国的传统服饰有多美,古韵新春",央视一套,2022-01-28 16:26:19
4729867179921032,LcwYRFCUE,#央视古韵新春阵容官宣#“愿得长如此，年年物候新。”CCTV-1除夕下午档，首档跨越千年溯源中国春节习俗的文化创演类节目#古韵新春# ，我在@央视一套 ，与您一起品味传承千年的新春习俗。 ,,https://wx1.sinaimg.cn/large/001ks5QYly1gyqyu5kyzfj61ks3ephdw02.jpg,,,2022-01-26,iPhone 11,449,110,37,"央视古韵新春阵容官宣,古韵新春",央视一套,2022-01-26 12:34:35
4721185558627065,L8T8fAcid,#藏族小伙用藏戏演绎对生命的敬意# 感恩世间遇见的一切!#国乐大典# ,,https://wx1.sinaimg.cn/large/001ks5QYly1gxz9nlvbmbj63gg56o4qw02.jpg,,,2022-01-02,iPhone 11,481,86,27,"藏族小伙用藏戏演绎对生命的敬意,国乐大典",,2022-01-02 13:36:55
4720784646604344,L8IHCrI5G,元旦快乐祝福大家在新的一年里平安健康，万事顺意。无数追梦的脚印留在刚刚过去的2021，休息放松一下吧，新的喜乐就藏在你的身边等待着被你发现2022正式开始了#新年快乐# ,,,,,2022-01-01,iPhone 11,532,140,27,新年快乐,,2022-01-01 11:03:50
4720439086025517,L8zIgphvL,#中国潮音陪你跨年# 和懂的人一起创作你懂的音乐，来@中国潮音 让国潮音乐见证新年来临~和我一起跨年吧！中国潮音官方的优酷视频 ,,,https://api.youku.com/videos/player/file?data=WcEl5oUuSdXdNRFEzTlRjNE9BPT18MHwxfDEwMDUwfDEO0O0O,,2021-12-31,微博视频号,287,48,23,中国潮音陪你跨年,中国潮音,2021-12-31 12:10:42
4718813251371345,L7TpX5KKt,今天是我的生日，来祝福我吧！ ,,,,,2021-12-27,生日动态,772,209,54,,,2021-12-27 00:30:12
4718062970866754,L7zTP3DtU,#国乐大典# 舞台给予我们的是感动与激情，看见乐手们在舞台上表演的时候，我能够感受到他们对于国乐的热爱。更是赞叹于#女生呼麦可以有多惊艳# 希望我能给予他们更多的帮助，期待能与他们一起探索国乐新的可能。广东卫视国乐大典的微博视频 ,,,"https://f.video.weibocdn.com/o0/tnhevHHBlx07Sq3OPIpq01041201q1pJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914882&ssig=uLBv3uY46A&KID=unistore,video",,2021-12-24,微博视频号,517,77,51,"国乐大典,女生呼麦可以有多惊艳",,2021-12-24 22:48:52
4717901942363634,L7vI69UT8,#中国潮音大师合作赛# #中国民族乐器能有多惊艳# 在@中国潮音 与众多优秀的音乐人合作，共同探索国潮舞台，望下期能给大家带来有趣的音乐作品。 ,,https://wx1.sinaimg.cn/large/001ks5QYly1gxoojckrezj61401z4e8202.jpg,,,2021-12-24,新版微博 weibo.com,321,71,29,"中国潮音大师合作赛,中国民族乐器能有多惊艳",中国潮音,2021-12-24 12:09:00
4715038332421824,L6jdnaa1G,#国乐大典4召集人合伙人官宣# #国乐大典# 聆听国乐之美，共享古韵之风。我将会携手@广东卫视国乐大典 一起用心去探索国乐的创新之路，打造国乐创作新方式。 ,,"https://wx3.sinaimg.cn/large/001ks5QYly1gxfjsv7yb5j61o02yo7wj02.jpg,https://wx2.sinaimg.cn/large/001ks5QYly1gxfjt55if1j61o02yo4qs02.jpg",,,2021-12-16,新版微博 weibo.com,355,63,19,"国乐大典4召集人合伙人官宣,国乐大典",广东卫视国乐大典,2021-12-16 14:30:02
4713535118509770,L5G6PzHMm,《甲骨谣》 作曲：萨顶顶，作词：卜涵、单小胖，演唱：萨顶顶，合唱：天使童声合唱团，《国家宝藏·展演季》 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/o0/m5Abosnslx07S6kp7S0g01041202C2cf0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914882&ssig=IVY91u3Tvm&KID=unistore,video",,2021-12-12,微博视频号,707,98,69,,,2021-12-12 10:56:48
4709640681820162,L42Nu7Dvs,#电视剧护心杀青# 静水流深，沧笙踏歌，终是过往云烟。荧惑杀青，静待重逢！ ,,https://wx4.sinaimg.cn/large/001ks5QYly1gwyfqnxmt8j622315ohdt02.jpg,,,2021-12-01,iPhone 11,779,140,53,电视剧护心杀青,,2021-12-01 17:01:42
4684056685445629,KzgHimQEJ,感谢我国唐代大诗人张若虚先生的《春江花月夜》每一句词都那么深情感谢@尚雯婕 和我一起演绎在这中秋之夜请让我献上最真挚的敬意#春江花月夜的巨型雨幕太壮观了##央视中秋晚会# 网页链接 ,,,,,2021-09-22,微博视频号,629,94,58,"春江花月夜的巨型雨幕太壮观了,央视中秋晚会",尚雯婕,2021-09-22 02:40:02
4684008115408664,KzfqXmH2w,《反弹琵琶》由白金明、付宏声作词，马久越作曲，来自B站中秋 #花好月圆会# 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/IHLmNDknlx07Q0mT0Ljq01041201VmmB0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914883&ssig=DXC9p2z8II&KID=unistore,video",,2021-09-21,微博视频号,1164,170,147,花好月圆会,,2021-09-21 23:27:02
4683978680569034,KzeFu2o1Y,《把酒问月》词：唐代诗人李白，曲：马久越， B站中秋特别节目 #花好月圆会# 大家看了吗？这首充满敦煌神秘色彩的新歌首秀送给大家。#萨顶顶新歌来自敦煌壁画# 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/zdoN8F5Glx07Q0eOxIRa01041201LUpa0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914883&ssig=fpw79O6PTC&KID=unistore,video",,2021-09-21,微博视频号,751,115,102,"花好月圆会,萨顶顶新歌来自敦煌壁画",,2021-09-21 21:30:04
4683956442107531,Kze5C8Qgr,月圆，人团圆，祝大家中秋快乐呀～B站中秋特别节目 #花好月圆会# 盛宴已启，我准备了好听的新歌唱给你们听～ ,,https://wx1.sinaimg.cn/large/001ks5QYly1guohs14ag4j60u01hce3202.jpg,,,2021-09-21,iPhone 12 Pro Max,538,101,28,花好月圆会,,2021-09-21 20:01:42
4683809288619019,KzaggAacr,祝大家中秋节快乐！今晚不一样的《春江花月夜》在20:00央视中秋晚会带给大家！#央视中秋晚会##给月亮的情诗# ,,"https://wx1.sinaimg.cn/large/001ks5QYly1guo0tl7bm1j60u01su7la02.jpg,https://wx3.sinaimg.cn/large/001ks5QYly1guo15uqgh7j60u0700b2902.jpg",,,2021-09-21,iPhone 12 Pro Max,519,116,29,"央视中秋晚会,给月亮的情诗",,2021-09-21 10:16:58
4679099560494116,KxbJW24xC,#舍我其谁开播# 围棋文化包罗万象，凝聚着古老的哲思与智慧。今晚20:20记得收看《舍我其谁》 ，一起追剧学围棋！  ,,https://wx2.sinaimg.cn/large/001ks5QYly1gu902dvn0pj62ip1ohu0x02.jpg,,,2021-09-08,iPhone 12 Pro Max,318,49,23,舍我其谁开播,,2021-09-08 10:22:10
